City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Shingu,JP,78.4,broken clouds,33.7333,135.9833,Shingu UI Hotel
3,Atuona,PF,77.86,few clouds,-9.8,-139.0333,Villa Enata
5,Kishni,IN,88.66,overcast clouds,27.0247,79.2634,श्री आंनद ग्रुप
6,Ajdabiya,LY,77.47,clear sky,30.7554,20.2263,Almadina Hotel
8,Victoria,HK,87.96,few clouds,22.2855,114.1577,Mini Central
11,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
12,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
18,Jaen,ES,78.15,clear sky,38.0,-3.5,Hotel TRH Baeza
21,Mecca,SA,87.12,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
22,Butaritari,KI,81.46,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Bandiagara,ML,89.83,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
44,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
45,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Eureka,US,80.67,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
53,Westport,US,83.28,clear sky,41.1415,-73.3579,The Westport Inn
55,Kutum,SD,81.19,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
58,Virginia Beach,US,77.04,mist,36.8529,-75.978,Hilton Virginia Beach Oceanfront
60,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
61,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
64,Humaita,BR,82.04,broken clouds,-7.5061,-63.0208,Corrêa Hotel
65,Pundaguitan,PH,82.17,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
68,La Primavera,CO,77.81,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
74,Jerez,GT,77.32,scattered clouds,14.1,-89.75,Auto hotel Esmeralda
78,Minab,IR,89.19,scattered clouds,27.1467,57.0801,Bam campground
80,Half Moon Bay,US,84.88,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
83,Axim,GH,75.94,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
84,Misratah,LY,79.12,clear sky,32.3754,15.0925,Almasa Hotel
85,Barcelos,PT,78.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
93,Bethel,US,80.94,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
99,Awjilah,LY,79.16,clear sky,29.1081,21.2869,المنزل
103,Bonthe,SL,75.6,moderate rain,7.5264,-12.505,Bonthe Holiday Village
108,Carman,CA,84.88,few clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
112,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Novotel Dakar
114,Nichinan,JP,80.58,clear sky,31.6,131.3667,Guest House Aki
119,Bourail,NC,79.52,broken clouds,-21.5667,165.4833,Motel Allamanda
121,Kahone,SN,81.84,scattered clouds,14.15,-16.0333,Adjana Hotel
123,Conceicao Do Araguaia,BR,81.79,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
127,Bubaque,GW,80.55,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
128,Moussoro,TD,89.83,broken clouds,13.6408,16.4901,Hôtel Salama
130,Nishihara,JP,85.68,few clouds,26.1842,127.7558,Minshuku Agaihama
136,Freetown,SL,76.01,light rain,8.484,-13.2299,The Country Lodge Hotel
137,Altamira,BR,79.38,broken clouds,-3.2033,-52.2064,Requinte Hotel
138,Lompoc,US,82.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
145,Bilma,NE,89.62,few clouds,18.6853,12.9164,Expeditions Ténére voyages
150,Ambikapur,IN,75.96,clear sky,23.1167,83.2,Hotel Birendra Prabha
