City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,54.79,64,91,16.71,overcast clouds
1,Mayo,US,38.8876,-76.5119,72.36,91,100,3.44,overcast clouds
2,Shingu,JP,33.7333,135.9833,78.4,87,81,1.32,broken clouds
3,Atuona,PF,-9.8,-139.0333,77.86,77,23,18.01,few clouds
4,Balakovo,RU,52.0278,47.8007,66.4,66,51,5.14,broken clouds
5,Kishni,IN,27.0247,79.2634,88.66,57,100,10.11,overcast clouds
6,Ajdabiya,LY,30.7554,20.2263,77.47,70,0,12.46,clear sky
7,Ushuaia,AR,-54.8,-68.3,28.06,80,75,19.57,snow
8,Victoria,HK,22.2855,114.1577,87.96,85,14,5.99,few clouds
9,Atar,MR,20.5169,-13.0499,96.44,24,0,8.55,clear sky
10,Paamiut,GL,61.994,-49.6678,39.79,95,92,12.68,overcast clouds
11,Vaini,TO,-21.2,-175.2,78.96,73,40,12.66,scattered clouds
12,Padang,ID,-0.9492,100.3543,75.25,87,69,2.8,broken clouds
13,Thompson,CA,55.7435,-97.8558,69.96,83,100,6.91,overcast clouds
14,Kaitangata,NZ,-46.2817,169.8464,40.5,72,45,4.25,scattered clouds
15,Bengkulu,ID,-3.8004,102.2655,73.92,86,10,4.34,clear sky
16,Jamestown,US,42.097,-79.2353,74.52,54,0,11.5,clear sky
17,Nikolskoye,RU,59.7035,30.7861,59.81,98,70,4.29,broken clouds
18,Jaen,ES,38.0,-3.5,78.15,32,0,2.75,clear sky
19,Hermanus,ZA,-34.4187,19.2345,56.8,82,3,7.81,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,28.51,80,20,11.5,few clouds
21,Mecca,SA,21.4267,39.8261,87.12,21,83,3.29,broken clouds
22,Butaritari,KI,3.0707,172.7902,81.46,79,40,13.02,light rain
23,Rikitea,PF,-23.1203,-134.9692,74.57,77,59,12.66,light rain
24,Dikson,RU,73.5069,80.5464,32.81,92,83,7.31,broken clouds
25,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,8.05,broken clouds
26,Qaanaaq,GL,77.484,-69.3632,43.39,77,69,1.86,broken clouds
27,Kisanga,TZ,-7.4362,37.7034,64.08,82,1,1.39,clear sky
28,Mataura,NZ,-46.1927,168.8643,38.48,78,39,1.5,scattered clouds
29,Prescott,US,34.54,-112.4685,97.21,16,0,14.97,clear sky
30,Estelle,US,29.8458,-90.1067,91.99,80,0,5.75,clear sky
31,Cumberland,US,35.0502,-78.8664,92.48,64,0,8.05,clear sky
32,Bandiagara,ML,14.3501,-3.6104,89.83,42,95,13.44,overcast clouds
33,Hobart,AU,-42.8794,147.3294,45.05,87,75,5.75,broken clouds
34,Nivala,FI,63.9167,24.9667,54.68,97,100,3.47,overcast clouds
35,Ancud,CL,-41.8697,-73.8203,45.23,87,100,14.94,light rain
36,Abu Dhabi,AE,24.4667,54.3667,93.31,67,0,6.91,clear sky
37,Maragogi,BR,-9.0122,-35.2225,74.84,85,18,13.35,few clouds
38,Taoudenni,ML,22.6783,-3.9836,101.7,7,12,7.96,few clouds
39,Todos Santos,MX,23.45,-110.2167,97.05,64,45,3.62,scattered clouds
40,Nong Ki,TH,14.6868,102.538,74.19,93,99,4.88,light rain
41,Castro,BR,-24.7911,-50.0119,56.26,81,10,3.02,clear sky
42,Mahebourg,MU,-20.4081,57.7,68.29,77,40,17.27,scattered clouds
43,Yellowknife,CA,62.456,-114.3525,71.56,56,71,8.01,broken clouds
44,Salalah,OM,17.0151,54.0924,77.09,100,100,9.22,light intensity drizzle
45,Kapaa,US,22.0752,-159.319,84.18,80,40,14.97,moderate rain
46,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,61,15.55,broken clouds
47,Bluff,NZ,-46.6,168.3333,38.8,71,43,4.83,scattered clouds
48,Eureka,US,40.8021,-124.1637,80.67,73,25,7.0,scattered clouds
49,Mehamn,NO,71.0357,27.8492,53.51,93,75,0.0,broken clouds
50,Pietarsaari,FI,63.65,22.6833,59.9,92,100,3.29,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,51.1,82,0,6.02,clear sky
52,Talnakh,RU,69.4865,88.3972,45.21,87,100,16.82,light rain
53,Westport,US,41.1415,-73.3579,83.28,49,0,4.61,clear sky
54,Nanortalik,GL,60.1432,-45.2371,42.87,91,33,8.41,scattered clouds
55,Kutum,SD,14.2,24.6667,81.19,37,92,2.46,overcast clouds
56,Grindavik,IS,63.8424,-22.4338,50.47,93,100,18.41,overcast clouds
57,Albany,US,42.6001,-73.9662,77.67,44,14,4.7,few clouds
58,Virginia Beach,US,36.8529,-75.978,77.04,93,100,11.5,mist
59,Miri,MY,4.4148,114.0089,74.25,89,94,4.12,overcast clouds
60,Hasaki,JP,35.7333,140.8333,79.29,89,100,16.02,overcast clouds
61,Avarua,CK,-21.2078,-159.775,77.05,57,67,14.97,broken clouds
62,Cape Town,ZA,-33.9258,18.4232,58.37,85,26,4.0,scattered clouds
63,Toamasina,MG,-18.1667,49.3833,67.51,84,25,10.94,light rain
64,Humaita,BR,-7.5061,-63.0208,82.04,57,65,2.15,broken clouds
65,Pundaguitan,PH,6.3711,126.1689,82.17,75,68,7.0,broken clouds
66,Carnarvon,AU,-24.8667,113.6333,64.47,100,75,17.27,broken clouds
67,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,17.27,scattered clouds
68,La Primavera,CO,5.4906,-70.4092,77.81,85,99,2.66,overcast clouds
69,Kodiak,US,57.79,-152.4072,56.71,82,100,10.36,overcast clouds
70,Chokurdakh,RU,70.6333,147.9167,57.97,38,21,8.19,few clouds
71,Berlevag,NO,70.8578,29.0864,53.55,82,100,2.3,overcast clouds
72,Arraial Do Cabo,BR,-22.9661,-42.0278,71.4,87,11,18.48,few clouds
73,Rundu,NA,-17.9333,19.7667,54.39,47,0,3.78,clear sky
74,Jerez,GT,14.1,-89.75,77.32,82,29,3.76,scattered clouds
75,Preobrazheniye,RU,42.9019,133.9064,68.56,78,12,5.53,few clouds
76,Lebu,CL,-37.6167,-73.65,48.97,84,100,10.65,overcast clouds
77,Severo-Kurilsk,RU,50.6789,156.125,59.0,84,100,13.0,overcast clouds
78,Minab,IR,27.1467,57.0801,89.19,71,43,3.53,scattered clouds
79,Cherskiy,RU,68.75,161.3,44.24,65,100,11.61,overcast clouds
80,Half Moon Bay,US,37.4636,-122.4286,84.88,74,75,21.85,broken clouds
81,Pringsewu,ID,-5.3582,104.9744,72.21,91,40,3.27,scattered clouds
82,Tasiilaq,GL,65.6145,-37.6368,44.76,79,99,0.43,overcast clouds
83,Axim,GH,4.8699,-2.2405,75.94,86,65,9.33,broken clouds
84,Misratah,LY,32.3754,15.0925,79.12,58,0,6.69,clear sky
85,Barcelos,PT,41.5388,-8.6151,78.91,58,0,1.14,clear sky
86,Port Elizabeth,ZA,-33.918,25.5701,63.1,78,2,11.01,clear sky
87,Santa Maria,BR,-29.6842,-53.8069,69.13,78,65,8.39,broken clouds
88,Leshukonskoye,RU,64.8989,45.7622,57.87,65,95,1.74,overcast clouds
89,Chapais,CA,49.7834,-74.8492,65.64,34,6,7.61,clear sky
90,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,8.05,overcast clouds
91,Upernavik,GL,72.7868,-56.1549,39.11,86,5,9.62,clear sky
92,Megion,RU,61.0296,76.1136,68.02,89,49,8.23,scattered clouds
93,Bethel,US,41.3712,-73.414,80.94,42,0,8.05,clear sky
94,Broome,US,42.2506,-75.833,74.17,49,0,12.66,clear sky
95,Grand Gaube,MU,-20.0064,57.6608,68.4,67,51,25.26,broken clouds
96,Mount Gambier,AU,-37.8333,140.7667,35.51,100,100,5.75,overcast clouds
97,Novodugino,RU,55.6305,34.2842,58.51,97,94,3.6,overcast clouds
98,Narsaq,GL,60.9167,-46.05,55.62,87,23,3.22,few clouds
99,Awjilah,LY,29.1081,21.2869,79.16,57,0,17.02,clear sky
100,Agropoli,IT,40.3469,14.9966,65.73,54,0,7.81,clear sky
101,College,US,64.8569,-147.8028,72.0,57,75,3.44,smoke
102,Port Alfred,ZA,-33.5906,26.891,66.18,65,0,8.99,clear sky
103,Bonthe,SL,7.5264,-12.505,75.6,93,100,11.07,moderate rain
104,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,87,7.0,overcast clouds
105,Chincha Alta,PE,-13.4099,-76.1323,59.59,81,40,3.29,scattered clouds
106,Torbay,CA,47.6666,-52.7314,62.28,85,66,5.01,broken clouds
107,Abu Samrah,SY,35.3029,37.1841,73.58,56,0,15.14,clear sky
108,Carman,CA,49.4992,-98.0016,84.88,74,21,11.48,few clouds
109,Gornopravdinsk,RU,60.05,69.9,65.91,85,79,2.82,broken clouds
110,East London,ZA,-33.0153,27.9116,70.23,33,0,10.38,clear sky
111,Izberbash,RU,42.5696,47.8645,68.09,61,0,6.4,clear sky
112,Dakar,SN,14.6937,-17.4441,79.68,82,74,11.41,broken clouds
113,Long Beach,US,33.767,-118.1892,97.97,63,0,18.41,clear sky
114,Nichinan,JP,31.6,131.3667,80.58,76,2,3.04,clear sky
115,Lavrentiya,RU,65.5833,-171.0,52.29,78,100,12.53,overcast clouds
116,Carutapera,BR,-1.195,-46.02,74.89,93,47,6.13,scattered clouds
117,Baykit,RU,61.67,96.37,59.67,96,100,3.38,light rain
118,Barra Da Estiva,BR,-13.6261,-41.3269,59.99,97,100,5.73,overcast clouds
119,Bourail,NC,-21.5667,165.4833,79.52,68,51,11.25,broken clouds
120,Pevek,RU,69.7008,170.3133,32.25,97,100,16.28,light snow
121,Kahone,SN,14.15,-16.0333,81.84,69,36,11.54,scattered clouds
122,Tiksi,RU,71.6872,128.8694,54.99,54,100,9.75,overcast clouds
123,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.79,40,22,2.24,few clouds
124,Bogatoye,RU,53.0601,51.3325,65.03,77,97,2.57,overcast clouds
125,Ahipara,NZ,-35.1667,173.1667,62.82,80,60,6.06,broken clouds
126,Bilibino,RU,68.0546,166.4372,39.72,92,100,5.59,overcast clouds
127,Bubaque,GW,11.2833,-15.8333,80.55,83,87,11.95,light rain
128,Moussoro,TD,13.6408,16.4901,89.83,36,51,3.04,broken clouds
129,Necochea,AR,-38.5473,-58.7368,52.47,94,94,8.77,overcast clouds
130,Nishihara,JP,26.1842,127.7558,85.68,89,20,12.66,few clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,55.09,94,100,8.01,mist
132,Emerald,AU,-23.5333,148.1667,51.35,66,0,14.16,clear sky
133,Souillac,MU,-20.5167,57.5167,68.38,77,40,17.27,scattered clouds
134,Khatanga,RU,71.9667,102.5,46.89,91,100,2.89,overcast clouds
135,Tucson,US,32.2217,-110.9265,107.74,16,40,3.44,scattered clouds
136,Freetown,SL,8.484,-13.2299,76.01,90,100,7.78,light rain
137,Altamira,BR,-3.2033,-52.2064,79.38,65,73,2.8,broken clouds
138,Lompoc,US,34.6391,-120.4579,82.69,69,0,25.99,clear sky
139,Atyrau,KZ,47.1167,51.8833,69.82,43,0,8.95,clear sky
140,Mapiripan,CO,2.8892,-72.1256,73.63,93,90,3.87,overcast clouds
141,Talara,PE,-4.5772,-81.2719,64.17,86,91,19.93,overcast clouds
142,Airai,TL,-8.9266,125.4092,58.32,90,71,3.91,broken clouds
143,Durban,ZA,-29.8579,31.0292,60.03,83,0,5.01,clear sky
144,Constitucion,CL,-35.3333,-72.4167,52.23,83,77,14.7,broken clouds
145,Bilma,NE,18.6853,12.9164,89.62,26,15,10.09,few clouds
146,Kibre Mengist,ET,5.8833,38.9833,56.93,86,100,2.24,overcast clouds
147,Deputatskiy,RU,69.3,139.9,51.22,62,50,5.35,scattered clouds
148,Port Hardy,CA,50.6996,-127.4199,60.98,88,100,5.75,overcast clouds
149,Solnechnyy,RU,50.7214,136.6319,70.99,88,100,6.22,overcast clouds
150,Ambikapur,IN,23.1167,83.2,75.96,84,6,4.41,clear sky
151,Muros,ES,42.7762,-9.0603,77.16,75,1,4.0,clear sky
152,Hobyo,SO,5.3505,48.5268,75.87,77,100,25.97,overcast clouds
153,Gao,ML,16.6362,1.637,88.36,41,45,12.95,scattered clouds
154,Hirara,JP,24.8,125.2833,84.45,75,47,13.58,scattered clouds
155,Vila Velha,BR,-20.3297,-40.2925,66.94,94,0,2.3,clear sky
156,Kabugao,PH,18.0217,121.1842,78.8,89,99,0.94,overcast clouds
157,Ailigandi,PA,9.2333,-78.0167,82.27,83,100,5.12,overcast clouds
158,Barrow,US,71.2906,-156.7887,57.22,67,0,12.66,clear sky
159,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,0,19.57,clear sky
160,Moche,PE,-8.1711,-79.0092,62.78,82,75,10.36,fog
161,Port Hedland,AU,-20.3167,118.5667,50.05,53,1,8.05,clear sky
162,Kloulklubed,PW,7.0419,134.2556,79.3,76,99,13.44,overcast clouds
163,Marsa Matruh,EG,31.3525,27.2453,77.14,76,1,12.88,clear sky
164,Clyde River,CA,70.4692,-68.5914,45.55,68,35,2.42,scattered clouds
165,Zyrardow,PL,52.0488,20.446,59.88,100,45,7.16,scattered clouds
166,Saint-Pierre,RE,-21.3393,55.4781,67.91,64,0,23.02,clear sky
167,Atherton,GB,53.5237,-2.4935,60.22,90,0,1.99,clear sky
168,Kolyshley,RU,52.7005,44.5367,67.24,67,38,7.11,scattered clouds
169,Cuamba,MZ,-14.8031,36.5372,57.7,67,26,2.55,scattered clouds
170,Mackay,AU,-21.15,149.2,60.67,60,0,11.27,clear sky
171,Iqaluit,CA,63.7506,-68.5145,41.7,81,80,8.01,broken clouds
172,Zyryanka,RU,65.75,150.85,59.25,57,29,5.86,scattered clouds
173,Batagay,RU,67.6333,134.6333,55.99,64,100,4.81,overcast clouds
174,Gat,IL,31.61,34.7642,76.41,100,0,4.07,clear sky
175,Esperance,AU,-33.8667,121.9,57.07,71,68,21.32,broken clouds
176,Wanaka,NZ,-44.7,169.15,32.43,85,100,1.86,overcast clouds
177,Khorramshahr,IR,30.4397,48.1664,94.96,21,0,9.22,clear sky
178,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,83,19,7.27,few clouds
179,Gazli,UZ,40.1333,63.45,79.32,20,0,9.84,clear sky
180,Codrington,AU,-38.2667,141.9667,43.41,92,9,8.77,clear sky
181,Tombouctou,ML,20.0,-3.0,97.86,8,89,5.75,overcast clouds
182,New Norfolk,AU,-42.7826,147.0587,44.71,89,9,2.42,clear sky
183,Danville,US,36.586,-79.395,76.03,91,100,12.66,overcast clouds
184,Praya,CV,14.9215,-23.5087,75.31,82,61,8.05,broken clouds
185,Flinders,AU,-34.5833,150.8552,54.18,88,98,5.01,light rain
186,Provideniya,RU,64.3833,-173.3,49.46,90,100,10.33,overcast clouds
187,Canto Do Buriti,BR,-8.11,-42.9444,74.57,39,2,4.21,clear sky
188,Maningrida,AU,-12.0667,134.2667,63.64,73,100,13.8,overcast clouds
189,Varzea Da Palma,BR,-17.5981,-44.7308,68.7,39,1,4.68,clear sky
190,Sheregesh,RU,52.9209,87.9869,53.58,82,4,3.49,clear sky
191,Hilo,US,19.7297,-155.09,92.28,74,75,11.5,broken clouds
192,Alice Springs,AU,-23.7,133.8833,29.75,93,0,1.14,clear sky
193,Port Blair,IN,11.6667,92.75,81.5,83,100,20.09,heavy intensity rain
